N°;Título;Link
1;Diputados aprobó y giró al Senado el proyecto sobre zonas frías;https://www.ambito.com/politica/diputados/aprobo-y-giro-al-senado-el-proyecto-zonas-frias-n5199916
2;Nuevas restricciones: especialistas recomiendan mantener el sistema de alarma epidemiológica;https://www.ambito.com/politica/coronavirus/nuevas-restricciones-especialistas-recomiendan-mantener-el-sistema-alarma-epidemiologica-n5199769
3;Ciudad: cuáles son las medidas que analizan para flexibilizar las restricciones;https://www.ambito.com/politica/restricciones/caba-cuales-son-las-medidas-que-analiza-larreta-n5200006
4;Alberto Fernández le pidió al INADI que evalué sus dichos sobre la inmigración europea en Argentina;https://www.ambito.com/politica/alberto-fernandez/le-pidio-al-inadi-que-evalue-sus-dichos-la-inmigracion-europea-argentina-n5200024
5;"Sergio Massa: ""Los monotributistas van a pagar menos""";https://www.ambito.com/politica/sergio-massa/los-monotributistas-van-pagar-menos-n5200027
6;Monotributo retroactivo: cuáles son los cambios que propone el nuevo proyecto de ley;https://www.ambito.com/politica/monotributo/retroactivo-cuales-son-los-cambios-que-propone-el-nuevo-proyecto-ley-n5199673
7;El show del diputado José Luis Ramón y su frazada al defender el proyecto de zonas frías;https://www.ambito.com/politica/diputados/el-show-del-diputado-jose-luis-ramon-y-su-frazada-al-defender-el-proyecto-zonas-frias-n5200031
8;Advierten que la suba en precio internacional de alimentos no se trasladó a inflación en otros países de la región;https://www.ambito.com/economia/inflacion/advierten-que-la-suba-precio-internacional-alimentos-no-se-traslado-otros-paises-la-region-n5200010
9;Clave para comercios: bancos deberán reducir el plazo de liquidación de pagos con tarjetas de crédito;https://www.ambito.com/economia/bancos/clave-comercios-deberan-reducir-el-plazo-liquidacion-pagos-tarjetas-credito-n5199981
10; Coronavirus: reportan 669 muertes y 27.628 nuevos casos en 24 horas ;https://www.ambito.com/informacion-general/covid-19/cuantos-casos-coronavirus-hay-hoy-la-argentina-n5176993
11;"Daniel Scioli: ""El pedido de disculpas del Presidente dio por terminado el tema""";https://www.ambito.com/politica/daniel-scioli/el-pedido-disculpas-del-presidente-dio-terminado-el-tema-n5200009
12;Guzmán alentó a unicornios y líderes del software;https://www.ambito.com/economia/software/guzman-alento-unicornios-y-lideres-del-n5200017
13;El dólar blue rebotó y se redujo la brecha con el MEP a mínimos en dos semanas;https://www.ambito.com/finanzas/dolar/blue-hoy-cuanto-cerro-este-jueves-10-junio-n5199751
14;"Alberto Fernández, sobre Malvinas: ""Es la diplomacia la que debe llevarnos a recuperar esas tierras""";https://www.ambito.com/politica/alberto-fernandez/malvinas-es-la-diplomacia-la-que-debe-llevarnos-recuperar-esas-tierras-n5199977
15;El dólar CCL ya registra la racha bajista más larga en 7 meses;https://www.ambito.com/finanzas/dolar/el-ccl-ya-registra-la-racha-bajista-mas-larga-7-meses-n5199897
16;Diputados postergó el tratamiento de la ley de emergencia Covid;https://www.ambito.com/politica/diputados/postergo-el-tratamiento-la-ley-emergencia-covid-n5199739
17;FMI, sin fecha para una misión a la Argentina ni para un acuerdo;https://www.ambito.com/economia/fmi/fecha-una-mision-la-argentina-ni-un-acuerdo-n5199850
18;Selección: Scaloni dio a conocer la lista para la Copa América ;https://www.ambito.com/deportes/seleccion-argentina/scaloni-dio-conocer-la-lista-la-copa-america-2021-brasil-n5199795
