Inception,2010,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page
Into the Wild,2007,Emile Hirsch,Marcia Gay Harden,William Hurt
Rounders,1998,Matt Damon,Edward Norton,Paul Cicero
V for Vendetta,2006,Natalie Portman,Hugo Weaving,Stephen Rea
Memento,2000,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano
Gladiator,2000,Russell Crowe,Joaquin Phoenix,Connie Nielsen
Donnie Darko,2001,Jake Gyllenhaal,Holmes Osborne,Maggie Gyllenhaal
Good Will Hunting,1997,Matt Damon,Robin Williams,Ben Affleck
The Hangover,2009,Bradley Cooper,Ed Helms,Zach Galifianakis
Gran Torino,2008,Clint Eastwood,Christopher Carley,Bee Vang
The Butterfly Effect,2004,Ashton Kutcher,Melora Walters,Amy Smart
Sin City,2005,Jessica Alba,Devon Aoki,Alexis Bledel
Snatch,2000,Benicio Del Toro,Brad Pitt
Robin Hood,2010,Russell Crowe,Cate Blanchett,Matthew Macfadyen
Beautiful Mind,2001,Russell Crowe,Ed Harris,Jennifer Connelly
Juno,2007,Ellen Page,Michael Cera,Jennifer Garner
Cinderella Man,2005,Russell Crowe,Renee Zellweger,Paul Giamatti
Meet Joe Black,1998,Brad Pitt,Anthony Hopkins,Claire Forlani
Planet Terror,2007,Rose McGowan,Freddy Rodriguez,Josh Brolin
Rocky,1976,Sylvester Stallone,Talia Shire,Burt Young
Rocky II,1979,Sylvester Stallone,Talia Shire,Burt Young
Rocky III,1982,Sylvester Stallone,Talia Shire,Burt Young
Warrior,2011,Tom Hardy,Nick Nolte,Joel Edgerton
500 Days of Summer,2009,Joseph Gordon-Levitt,Zooey Deschanel,Geoffrey Arend
Sherlock Holmes,2009,Robert Downey Jr.,Jude Law,Rachel McAdams
Pulp Fiction,1994,John Travolta,Samuel L. Jackson,Tim Roth
Inglourious Basterds,2009,Brad Pitt,Melanie Laurent,Christoph Waltz
